temperature,rainfall,humidity,yield_apples
25.00 , 76.00 , 99.00 , 67.40
39.00 , 65.00 , 70.00 , 55.30
59.00 , 45.00 , 77.00 , 56.10
84.00 , 63.00 , 38.00 , 50.90
66.00 , 50.00 , 52.00 , 49.00
41.00 , 94.00 , 77.00 , 67.20
91.00 , 57.00 , 96.00 , 73.70
49.00 , 96.00 , 99.00 , 78.20
67.00 , 20.00 , 28.00 , 30.60
85.00 , 31.00 , 95.00 , 64.30
78.00 , 46.00 , 34.00 , 43.00
31.00 , 40.00 , 63.00 , 43.40
52.00 , 77.00 , 85.00 , 67.50
28.00 , 66.00 , 77.00 , 56.20
32.00 , 50.00 , 57.00 , 44.20
31.00 , 79.00 , 53.00 , 51.10
45.00 , 76.00 , 48.00 , 51.00
80.00 , 52.00 , 27.00 , 42.40
24.00 , 45.00 , 90.00 , 54.30
20.00 , 89.00 , 84.00 , 64.30
32.00 , 20.00 , 96.00 , 50.80
56.00 , 44.00 , 74.00 , 54.00
93.00 , 70.00 , 80.00 , 71.60
62.00 , 87.00 , 73.00 , 67.70
85.00 , 48.00 , 90.00 , 67.40
87.00 , 86.00 , 93.00 , 80.40
43.00 , 57.00 , 69.00 , 53.30
28.00 , 71.00 , 44.00 , 44.50
44.00 , 95.00 , 58.00 , 60.50
88.00 , 48.00 , 46.00 , 50.40
80.00 , 50.00 , 38.00 , 46.20
27.00 , 75.00 , 89.00 , 63.50
93.00 , 61.00 , 73.00 , 66.10
31.00 , 87.00 , 62.00 , 57.10
38.00 , 94.00 , 44.00 , 53.40
55.00 , 93.00 , 55.00 , 60.90
56.00 , 22.00 , 47.00 , 36.60
38.00 , 64.00 , 79.00 , 58.40
26.00 , 22.00 , 40.00 , 27.80
27.00 , 98.00 , 24.00 , 44.40
55.00 , 37.00 , 38.00 , 37.30
63.00 , 69.00 , 46.00 , 51.70
21.00 , 34.00 , 21.00 , 22.80
31.00 , 89.00 , 85.00 , 66.90
45.00 , 69.00 , 91.00 , 66.10
48.00 , 86.00 , 77.00 , 66.20
27.00 , 51.00 , 27.00 , 31.50
40.00 , 47.00 , 88.00 , 57.30
29.00 , 45.00 , 69.00 , 46.90
35.00 , 55.00 , 85.00 , 57.50
62.00 , 43.00 , 58.00 , 48.50
67.00 , 95.00 , 54.00 , 63.50
35.00 , 46.00 , 55.00 , 42.80
36.00 , 75.00 , 28.00 , 40.90
97.00 , 62.00 , 87.00 , 72.80
29.00 , 52.00 , 25.00 , 31.40
31.00 , 26.00 , 72.00 , 42.80
94.00 , 100.00 , 59.00 , 72.40
47.00 , 52.00 , 76.00 , 55.40
46.00 , 52.00 , 70.00 , 52.80
40.00 , 68.00 , 72.00 , 57.20
35.00 , 27.00 , 84.00 , 48.70
69.00 , 96.00 , 29.00 , 54.20
69.00 , 57.00 , 52.00 , 51.70
33.00 , 45.00 , 71.00 , 48.50
88.00 , 95.00 , 82.00 , 78.90
48.00 , 90.00 , 69.00 , 64.20
55.00 , 78.00 , 66.00 , 60.80
28.00 , 44.00 , 67.00 , 45.60
34.00 , 58.00 , 27.00 , 35.00
62.00 , 46.00 , 89.00 , 61.80
92.00 , 78.00 , 89.00 , 77.40
20.00 , 69.00 , 70.00 , 52.70
88.00 , 49.00 , 65.00 , 58.30
56.00 , 83.00 , 36.00 , 50.50
51.00 , 67.00 , 54.00 , 51.90
47.00 , 50.00 , 71.00 , 52.80
32.00 , 94.00 , 71.00 , 63.00
33.00 , 21.00 , 96.00 , 51.30
100.00 , 81.00 , 69.00 , 71.90
31.00 , 58.00 , 22.00 , 32.40
74.00 , 96.00 , 33.00 , 56.80
79.00 , 98.00 , 99.00 , 84.80
49.00 , 76.00 , 38.00 , 47.80
78.00 , 51.00 , 79.00 , 62.50
28.00 , 51.00 , 62.00 , 45.70
43.00 , 49.00 , 55.00 , 45.30
73.00 , 62.00 , 50.00 , 53.20
41.00 , 59.00 , 78.00 , 57.10
44.00 , 31.00 , 52.00 , 38.90
29.00 , 97.00 , 29.00 , 46.50
38.00 , 75.00 , 60.00 , 54.10
68.00 , 60.00 , 29.00 , 43.20
46.00 , 71.00 , 37.00 , 45.30
44.00 , 39.00 , 49.00 , 40.10
25.00 , 78.00 , 31.00 , 40.80
52.00 , 84.00 , 47.00 , 54.40
20.00 , 98.00 , 71.00 , 61.80
99.00 , 47.00 , 67.00 , 60.70
68.00 , 83.00 , 94.00 , 76.10
38.00 , 90.00 , 20.00 , 42.60
99.00 , 67.00 , 43.00 , 57.10
53.00 , 71.00 , 39.00 , 47.50
85.00 , 30.00 , 49.00 , 45.60
90.00 , 20.00 , 43.00 , 41.20
62.00 , 67.00 , 38.00 , 47.70
81.00 , 81.00 , 78.00 , 71.70
23.00 , 69.00 , 65.00 , 51.30
86.00 , 66.00 , 22.00 , 45.80
58.00 , 89.00 , 76.00 , 68.70
28.00 , 51.00 , 88.00 , 56.10
98.00 , 33.00 , 76.00 , 59.90
41.00 , 22.00 , 84.00 , 48.40
52.00 , 69.00 , 60.00 , 55.10
46.00 , 68.00 , 38.00 , 44.80
87.00 , 35.00 , 54.00 , 49.50
37.00 , 76.00 , 74.00 , 59.80
86.00 , 80.00 , 40.00 , 57.20
57.00 , 86.00 , 45.00 , 55.20
31.00 , 94.00 , 87.00 , 69.20
45.00 , 31.00 , 46.00 , 36.70
26.00 , 20.00 , 31.00 , 23.60
56.00 , 36.00 , 68.00 , 49.20
96.00 , 96.00 , 48.00 , 67.20
35.00 , 57.00 , 23.00 , 33.30
51.00 , 28.00 , 78.00 , 49.80
44.00 , 40.00 , 78.00 , 52.00
69.00 , 44.00 , 78.00 , 58.20
52.00 , 29.00 , 84.00 , 52.70
49.00 , 91.00 , 85.00 , 71.10
44.00 , 45.00 , 51.00 , 42.70
92.00 , 48.00 , 78.00 , 64.00
37.00 , 30.00 , 42.00 , 33.20
62.00 , 34.00 , 59.00 , 46.20
66.00 , 71.00 , 61.00 , 58.90
100.00 , 77.00 , 20.00 , 51.10
95.00 , 30.00 , 25.00 , 38.00
86.00 , 45.00 , 100.00 , 70.70
70.00 , 60.00 , 99.00 , 71.60
37.00 , 36.00 , 55.00 , 40.20
50.00 , 33.00 , 26.00 , 30.30
33.00 , 40.00 , 64.00 , 44.20
86.00 , 98.00 , 25.00 , 56.60
57.00 , 75.00 , 21.00 , 42.30
53.00 , 24.00 , 73.00 , 47.00
34.00 , 78.00 , 23.00 , 39.40
55.00 , 45.00 , 42.00 , 41.30
89.00 , 84.00 , 82.00 , 75.80
68.00 , 47.00 , 84.00 , 61.30
48.00 , 87.00 , 38.00 , 50.90
45.00 , 67.00 , 67.00 , 55.90
44.00 , 29.00 , 77.00 , 48.30
79.00 , 72.00 , 58.00 , 60.60
31.00 , 70.00 , 96.00 , 65.60
31.00 , 73.00 , 49.00 , 47.70
92.00 , 56.00 , 85.00 , 69.20
69.00 , 60.00 , 85.00 , 65.80
66.00 , 26.00 , 35.00 , 35.00
94.00 , 81.00 , 79.00 , 74.70
29.00 , 71.00 , 65.00 , 53.10
23.00 , 97.00 , 21.00 , 42.10
74.00 , 64.00 , 85.00 , 68.00
39.00 , 86.00 , 76.00 , 64.00
22.00 , 83.00 , 52.00 , 50.10
32.00 , 21.00 , 59.00 , 36.30
37.00 , 87.00 , 61.00 , 57.90
29.00 , 85.00 , 64.00 , 56.90
94.00 , 72.00 , 48.00 , 59.60
85.00 , 83.00 , 73.00 , 71.10
48.00 , 65.00 , 25.00 , 39.10
50.00 , 91.00 , 77.00 , 68.10
23.00 , 36.00 , 40.00 , 31.40
46.00 , 72.00 , 51.00 , 51.20
90.00 , 68.00 , 95.00 , 76.40
47.00 , 58.00 , 32.00 , 39.60
80.00 , 85.00 , 85.00 , 75.50
73.00 , 76.00 , 36.00 , 51.80
26.00 , 89.00 , 95.00 , 69.90
84.00 , 27.00 , 37.00 , 39.70
55.00 , 37.00 , 57.00 , 44.90
41.00 , 97.00 , 59.00 , 60.90
30.00 , 21.00 , 41.00 , 28.70
24.00 , 62.00 , 32.00 , 36.20
73.00 , 58.00 , 73.00 , 61.20
57.00 , 82.00 , 67.00 , 62.80
66.00 , 30.00 , 60.00 , 46.20
36.00 , 87.00 , 41.00 , 49.70
96.00 , 25.00 , 86.00 , 61.10
45.00 , 89.00 , 20.00 , 43.70
46.00 , 72.00 , 64.00 , 56.40
77.00 , 77.00 , 75.00 , 68.50
29.00 , 65.00 , 62.00 , 50.10
80.00 , 44.00 , 90.00 , 65.20
43.00 , 25.00 , 94.00 , 53.70
55.00 , 86.00 , 76.00 , 67.20
45.00 , 53.00 , 77.00 , 55.70
35.00 , 85.00 , 38.00 , 47.70
63.00 , 38.00 , 22.00 , 32.80
36.00 , 87.00 , 59.00 , 56.90
92.00 , 22.00 , 32.00 , 37.80
100.00 , 58.00 , 90.00 , 73.40
31.00 , 98.00 , 78.00 , 66.80
86.00 , 21.00 , 82.00 , 56.30
35.00 , 56.00 , 60.00 , 47.80
63.00 , 37.00 , 81.00 , 56.10
45.00 , 89.00 , 80.00 , 67.70
43.00 , 59.00 , 61.00 , 50.70
40.00 , 47.00 , 54.00 , 43.70
83.00 , 35.00 , 68.00 , 54.30
89.00 , 75.00 , 55.00 , 62.30
80.00 , 52.00 , 91.00 , 68.00
100.00 , 34.00 , 60.00 , 54.20
84.00 , 61.00 , 31.00 , 47.50
72.00 , 46.00 , 45.00 , 46.20
95.00 , 29.00 , 77.00 , 58.50
81.00 , 36.00 , 28.00 , 38.20
55.00 , 65.00 , 29.00 , 42.10
60.00 , 35.00 , 40.00 , 38.50
